"","Parcel_Num","Property_C","Property_S","Inventory_","Zoned_As","Address1","City","Neighborho","Longitude","Latitude","Council_Di","Area_Plann","Square_Foo","Business_I","Community_","Building_N","LA_County_","LA_County1","PIN","County_Ass","County_A_1","coords.x1","coords.x2","optional"
"659",5556023902,"vacant land","Surplus-Undeclared","General Services","R1-1","NORTH OF 1698 MARMONT AVE","LOS ANGELES",NA,-118.37235,34.10221,11,NA,7315.03095,NA,NA,"Vacant Land",5556023902,NA,NA,NA,NA,-118.37235,34.10221,TRUE
"660",4370011900,"vacant land","New","DWP",NA,"NONE","LOS ANGELES",NA,-118.4574397,34.1052923,12,NA,27275.24931,"None",NA,NA,4370011900,NA,NA,"L A CITY",NA,-118.4574397,34.1052923,TRUE
"661",4128015910,"vacant land","Owned","Airports",NA,"9607 GLASGOW PL","LOS ANGELES",NA,-118.3717804,33.9489937,4,"None",6492.984599,"None",NA,NA,4128015910,NA,NA,NA,NA,-118.3717804,33.9489937,TRUE
"662",4128018913,"vacant land","Owned","Airports",NA,"9743 GLASGOW PL","LOS ANGELES",NA,-118.3721771,33.9473877,4,"None",7159.272561,"None",NA,NA,4128018913,NA,NA,NA,NA,-118.3721771,33.9473877,TRUE
"663",2401005901,"vacant land","Surplus-Undeclared","General Services","A2-1&K","SMMC LA TUNA CANYON RD","LOS ANGELES",NA,-118.321443,34.236969,14,"North Valley",3324.441601,NA,NA,"Vacant Land",2401005901,NA,NA,NA,NA,-118.321443,34.236969,TRUE
"664",5304017901,"vacant land","Surplus-Undeclared","General Services","OS-1XL","711 MONTECITO DR","LOS ANGELES",NA,-118.1980591,34.0917511,2,"None",4980.467581,"None",NA,"Vacant Land",5304017901,NA,NA,NA,NA,-118.1980591,34.0917511,TRUE
"665",4128008931,"vacant land","Owned","Airports",NA,"5334 W 94TH ST","LOS ANGELES",NA,-118.3738251,33.9505615,4,"None",5835.754951,"None",NA,NA,4128008931,NA,NA,NA,NA,-118.3738251,33.9505615,TRUE
"666",2401006900,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8760 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.315995,34.235055,14,"North Valley",72865.28744,NA,NA,"Vacant Land",2401006900,NA,NA,NA,NA,-118.315995,34.235055,TRUE
"667",4128008932,"vacant land","Owned","Airports",NA,"5329 W 95TH ST","LOS ANGELES",NA,-118.3736343,33.9502716,4,"None",5618.529899,"None",NA,NA,4128008932,NA,NA,NA,NA,-118.3736343,33.9502716,TRUE
"668",4128015912,"vacant land","Owned","Airports",NA,"9719 GLASGOW PL","LOS ANGELES",NA,-118.3719254,33.9479523,4,"None",6907.673,"None",NA,NA,4128015912,NA,NA,NA,NA,-118.3719254,33.9479523,TRUE
"669",5410009913,"vacant land","Owned","General Services",NA,"850 N MISSION RD","LOS ANGELES",NA,-118.218648,34.057239,7,"None",50852.81879,"None",NA,NA,5410009913,NA,"132A221   112",NA,NA,-118.218648,34.057239,TRUE
"670",4371045900,"vacant land","New","General Services","RE15-1","1852 N MAGENTA LN","LOS ANGELES","Bel Air - Beverly Crest",-118.4452972,34.10441285,12,"None",2578.518701,"None","Bel Air - Beverly Crest",NA,4371045900,NA,"150B153   861","L A CITY S BY S",NA,-118.4452972,34.10441285,TRUE
"671",4128018914,"vacant land","Owned","Airports",NA,"9733 GLASGOW PL","LOS ANGELES",NA,-118.3720322,33.9476662,4,"None",7079.165321,"None",NA,NA,4128018914,NA,NA,NA,NA,-118.3720322,33.9476662,TRUE
"672",2401009900,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8762 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.316041,34.235112,14,"North Valley",49727.71319,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401009900,NA,NA,NA,NA,-118.316041,34.235112,TRUE
"673",4128018915,"vacant land","Owned","Airports",NA,"9813 GLASGOW PL","LOS ANGELES",NA,-118.3724823,33.9470139,4,"None",7143.820354,"None",NA,NA,4128018915,NA,NA,NA,NA,-118.3724823,33.9470139,TRUE
"674",4411003900,"vacant land","New","General Services","OS-1XL","843 N ALMA REAL DR","PACIFIC PALISADES","None",-118.5244869,34.04371391,4,"None",7085.642493,NA,"Brentwood - Pacific Palisades",NA,4411003900,NA,"126B129   241","L A CITY",NA,-118.5244869,34.04371391,TRUE
"675",4128015913,"vacant land","Owned","Airports",NA,"9621 GLASGOW PL","LOS ANGELES",NA,-118.3717804,33.9486923,4,"None",6529.357806,"None",NA,NA,4128015913,NA,NA,NA,NA,-118.3717804,33.9486923,TRUE
